# V    B-V
12.856 0.531
12.910 0.490
12.712 0.913
13.025 0.574
14.320 0.830
12.818 0.521
12.818 0.521
14.042 0.590
12.374 0.746
13.411 0.562
12.080 0.778
13.668 0.622
13.117 0.542
13.884 0.584
14.154 0.594
13.915 0.569
13.598 0.551
12.700 0.482
14.140 0.602
12.797 0.553
14.055 0.578
12.931 0.851
12.803 0.547
12.846 0.501
13.285 0.575
13.703 0.561
13.726 0.609
13.640 0.659
12.844 0.522
13.551 0.569
13.530 0.549
12.040 0.600
13.637 0.561
13.642 0.564
13.382 0.548
14.088 0.619
14.112 0.608
13.153 0.548
14.098 0.602
13.402 0.557
13.384 0.554
12.862 0.941
12.865 0.948
14.072 0.602
13.361 0.733
13.762 0.583
13.806 0.578
13.265 0.575
13.253 0.841
13.557 0.554
13.491 0.595
13.488 0.627
13.447 0.627
13.065 0.534
12.964 1.107
12.782 0.813
11.520 0.700
12.725 0.739
12.731 0.738
12.620 0.721
13.482 0.551
13.513 0.533
13.465 0.548
12.687 0.631
12.654 0.618
12.653 0.613
13.522 0.573
13.511 0.593
13.312 0.589
13.311 0.594
13.321 0.583
12.673 0.620
12.653 0.614
12.655 0.613
11.320 0.295
11.317 0.295
13.374 0.554
14.054 0.656
14.047 0.666
13.894 0.535
13.852 0.575
13.853 0.576
13.594 0.622
13.581 0.602
13.763 0.566
13.751 0.572
13.340 0.549
13.322 0.558
14.052 0.703
14.034 0.692
12.595 0.637
12.637 0.640
13.900 0.597
13.847 0.587
14.137 0.592
13.639 0.562
13.422 0.541
11.550 0.410
11.546 0.408
13.568 0.586
12.381 0.980
12.393 0.966
13.795 0.586
13.784 0.579
13.794 0.568
13.430 0.560
13.423 0.558
13.427 0.551
13.994 0.717
13.991 0.721
13.372 0.563
13.374 0.564
13.393 0.550
12.812 0.733
13.779 0.588
13.767 0.590
13.776 0.596
10.007 -0.098
10.010 -0.070
10.022 -0.086
10.030 -0.073
9.995 -0.145
10.022 -0.002
13.898 0.575
13.899 0.586
13.913 0.577
13.230 0.600
13.199 0.598
13.214 0.577
13.184 0.581
13.207 0.592
10.590 1.120
10.519 1.095
10.522 1.092
13.664 0.568
13.616 0.576
13.790 1.051
13.513 1.021
13.626 0.568
13.598 0.555
13.615 0.542
12.286 0.676
12.213 0.673
13.390 0.560
13.409 0.584
13.374 0.576
13.388 0.574
11.090 0.380
11.078 0.430
11.042 0.396
10.905 0.440
12.830 0.560
12.820 0.575
12.805 0.572
12.821 0.564
12.823 0.559
12.828 0.555
13.909 0.531
14.140 0.620
14.128 0.612
14.164 0.608
14.122 0.605
14.138 0.611
14.155 0.604
12.800 0.560
12.823 0.565
12.792 0.561
12.810 0.555
12.670 0.500
12.671 0.513
12.651 0.517
12.667 0.509
12.666 0.504
12.990 0.840
13.015 0.854
12.986 0.850
13.002 0.838
14.210 0.620
14.343 0.537
14.321 0.520
14.342 0.529
14.335 0.526
12.831 0.567
12.860 0.540
12.827 0.557
13.549 0.621
13.458 0.575
13.491 0.630
13.466 0.567
13.449 0.583
13.170 0.580
13.173 0.578
13.091 0.610
13.142 0.588
12.410 0.710
12.400 0.760
12.397 0.744
12.418 0.734
12.387 0.757
12.393 0.745
13.190 0.560
13.173 0.557
13.166 0.562
13.183 0.553
11.140 1.080
11.200 1.080
11.130 1.092
11.139 1.081
10.300 1.270
10.301 1.253
10.300 1.260
10.260 1.250
10.287 1.267
13.096 0.582
13.130 0.620
13.090 0.560
13.077 0.564
13.060 0.567
13.081 0.559
13.075 0.558
13.080 0.552
13.940 0.600
13.933 0.592
13.928 0.574
13.933 0.605
13.917 0.598
13.918 0.592
9.692 1.351
9.710 1.370
9.700 1.390
9.702 1.359
9.720 1.370
9.702 1.353
9.702 1.369
13.510 0.570
13.511 0.571
13.504 0.563
13.562 0.567
12.740 0.590
12.730 0.570
12.724 0.568
12.730 0.554
12.720 0.565
12.726 0.562
13.257 0.603
13.279 0.585
13.254 0.583
14.134 0.640
13.393 0.578
13.422 0.569
13.399 0.567
12.660 0.610
12.647 0.608
12.620 0.603
12.618 0.604
12.641 0.607
12.653 0.606
13.960 0.560
14.140 0.730
14.132 0.707
14.160 0.708
14.147 0.719
14.144 0.717
12.677 0.800
12.690 0.810
12.630 0.800
12.636 0.794
12.596 0.783
12.597 0.800
12.580 0.781
14.054 0.561
12.560 0.590
12.540 0.591
12.526 0.598
12.538 0.590
13.700 0.580
13.670 0.568
13.666 0.560
13.685 0.571
13.646 0.567
13.681 0.565
13.880 0.580
13.854 0.572
13.828 0.575
13.857 0.579
13.868 0.576
13.735 0.569
13.898 0.625
13.893 0.764
13.915 0.606
12.147 0.466
12.200 0.450
12.140 0.460
12.124 0.458
12.126 0.458
12.122 0.453
12.088 0.442
12.119 0.459
13.837 0.598
13.891 0.554
