# V     B-V
19.5917 0.5116
19.5684 0.4824
19.5423 0.5323
19.0012 0.4164
19.1307 1.7461
19.0789 0.5022
19.7407 0.5576
19.1615 1.612
19.6278 0.182
18.8594 0.4097
19.4389 0.3942
19.6672 0.4927
17.9902 0.4918
19.5439 0.5022
19.2941 1.8339
13.7284 0.9893
18.1753 0.4145
18.8002 0.3836
18.4070 0.4241
20.6796 -0.2548
16.8058 0.6094
20.5565 0.4795
19.3919 0.5022
19.5321 0.4974
20.1193 0.4889
19.6097 1.615
18.0028 0.5538
18.5733 0.4472
19.9276 0.5659
18.8112 0.4174
19.5096 1.6533
19.5136 0.4766
19.1133 0.4871
18.1594 0.4106
20.2649 0.2766
18.8814 0.3777
17.3758 0.6807
19.3903 0.4481
20.0448 0.8794
18.7758 0.3072
19.6911 1.6987
19.7155 0.4068
19.0304 0.577
20.3515 0.6287
20.3551 0.4956
17.2621 0.6543
18.6386 0.371
19.0050 0.4232
19.3745 0.4786
20.0763 0.5807
19.8530 0.7705
18.4725 0.4059
21.3963 -0.7893
17.7515 0.5724
20.2757 0.6131
17.8653 0.5313
19.2365 0.4395
17.7938 0.6103
19.8331 0.7615
19.4941 0.4548
19.3481 0.4567
19.4557 0.4728
19.4926 0.5659
20.4529 0.5491
17.4531 0.6597
19.1326 0.4376
19.4879 0.5032
19.7885 0.4786
18.5057 0.47
17.9310 0.425
19.4341 0.4184
18.7251 0.4184
18.6899 0.4624
19.2808 0.5097
17.9308 0.5069
17.8282 0.5333
20.2126 0.5659
19.4439 0.5059
19.1870 0.6001
19.1869 0.6048
19.7350 0.5956
19.6507 0.5603
19.5951 0.7544
17.7667 0.5576
19.9747 0.5603
18.8064 0.3777
16.0182 0.7499
17.9099 0.5032
19.2542 0.4538
19.0989 0.4261
19.3800 0.5463
20.2467 0.6131
17.1436 2.4118
19.7747 0.5594
17.8376 0.5191
12.6008 1.3195
14.9991 0.0924
19.9382 0.6515
20.5319 0.8032
19.1696 0.4766
18.5479 0.4261
18.2952 0.4909
20.3538 0.678
19.5265 0.6269
17.2730 0.5965
18.9141 0.3874
20.4679 0.6039
20.4056 0.6205
17.8841 0.4947
17.3267 0.6158
19.5775 0.3739
19.1806 0.4766
21.4392 0.7392
19.3891 0.4937
19.2622 0.4909
21.0230 -1.6642
18.9141 0.4548
18.4291 0.4548
18.7552 0.4155
18.1733 0.4135
20.1516 0.6232
19.8731 0.4956
18.9165 1.7247
19.6666 0.5154
19.6476 0.4738
19.0664 0.4842
19.8091 0.4965
19.7145 1.002
20.0763 0.646
19.7392 0.5342
22.1654 -5.3684
19.5976 0.3719
18.6765 0.4077
19.4306 0.4385
12.7937 1.2433
14.9418 0.8314
18.6183 0.4145
19.3466 0.5191
17.5378 0.6103
18.4289 0.3933
19.7016 0.3131
18.6765 0.4068
19.9187 0.3991
19.1119 0.5022
20.0916 0.6214
19.9553 0.4871
18.9154 0.4461
19.2475 0.4077
21.3736 -0.1847
17.8924 0.5276
18.2451 0.3554
19.5188 1.3496
17.4401 0.6597
19.6458 0.8794
19.9686 0.6196
19.9932 0.5369
17.0505 0.626
17.5572 0.589
18.6525 0.3748
19.2272 0.4519
19.4065 0.521
18.6918 1.0358
19.8095 0.521
18.5888 0.3632
19.4301 0.5398
16.2928 0.678
18.9951 0.3554
19.0414 0.4452
16.5588 0.6789
19.1171 1.7181
19.1739 0.5059
18.4443 0.4145
18.5949 0.3914
16.8620 0.6634
18.7241 0.325
16.6733 0.6442
19.9388 0.4681
15.9688 -0.1271
19.8141 0.4947
20.2103 0.4871
18.1296 0.4029
19.5693 0.5323
18.3330 0.3583
19.1635 0.3748
19.7047 0.3387
19.5734 0.577
19.2460 0.4985
19.5131 0.4974
19.5779 0.5059
18.9125 0.3161
19.1339 0.3024
19.0011 0.3856
18.3077 0.401
21.1073 -1.7202
19.4217 0.5621
20.2694 0.4452
18.3469 0.3933
18.4989 0.3923
19.3755 0.4776
17.7708 0.5529
19.4671 0.4576
18.9245 0.4786
17.7581 0.5416
19.4815 0.4804
18.8600 0.4614
18.5740 0.4222
18.9822 0.49
19.3535 0.5238
18.3631 0.4184
17.5815 0.6296
15.7783 -0.0876
19.2218 0.5079
18.5371 0.4184
20.1074 0.4833
19.0020 0.4241
20.2246 0.6214
18.8115 1.9162
16.9494 0.6351
15.3865 0.7105
19.4445 0.4068
19.3483 1.8982
17.3373 0.6406
19.7491 0.538
15.1910 0.7793
17.8145 0.5687
17.9964 0.4088
18.6894 0.5285
18.6023 0.4117
18.9250 0.4222
18.4618 0.4318
19.8863 0.5817
20.1074 0.5734
19.6819 0.5482
18.1322 0.451
19.1049 0.3933
16.7097 0.6897
19.6202 0.3515
17.7708 0.5079
20.0954 0.5761
18.5154 0.4433
14.8399 0.7873
19.5146 0.6232
18.3783 0.4126
19.4531 1.0593
15.1645 -0.0431
18.3048 0.4318
19.6453 1.7024
