# V   B-V
5.570 1.610
6.170 1.830
5.600 1.600
5.970 1.650
7.120 -0.050
7.260 0.020
7.310 -0.020
9.510 0.340
10.580 0.680
10.510 0.140
12.810 0.620
10.940 0.240
8.770 0.100
7.880 0.050
12.970 1.510
12.960 1.570
10.700 0.320
11.900 0.510
10.550 0.130
11.710 0.400
9.840 0.100
9.870 0.110
9.880 1.830
9.060 0.060
12.270 0.540
12.240 0.580
9.800 0.070
9.840 0.060
8.260 0.050
8.290 -0.010
9.060 0.090
9.110 0.090
9.480 0.080
13.550 0.860
12.560 0.970
9.130 0.090
9.080 0.120
9.100 0.120
9.200 0.090
11.800 0.460
11.770 0.500
12.510 0.670
8.790 0.030
8.760 0.060
8.770 0.070
8.810 0.060
9.860 0.050
9.850 0.070
9.870 0.090
11.510 0.570
11.570 0.370
11.650 0.260
6.630 -0.030
6.760 0.040
6.726 0.005
6.410 0.040
6.750 -0.010
11.710 0.420
10.710 0.180
11.380 0.360
12.570 0.720
8.750 0.010
8.780 0.050
8.800 0.020
13.210 0.680
13.850 0.700
12.900 0.680
12.800 0.550
8.880 0.080
8.910 0.090
8.900 0.090
8.990 0.080
10.580 0.180
10.590 0.200
10.640 0.220
11.550 0.480
10.620 0.190
10.600 0.250
13.980 0.920
14.060 0.860
14.870 0.930
10.420 0.140
10.460 0.170
10.520 0.180
10.600 0.230
10.600 0.270
10.650 0.260
9.830 1.690
9.790 1.780
9.850 1.750
13.870 0.710
13.820 0.710
13.880 0.700
13.990 0.750
9.980 0.110
10.000 0.080
10.000 0.140
10.070 0.150
10.210 0.120
10.230 0.110
10.220 0.140
10.280 0.140
9.840 0.230
9.850 0.300
9.900 0.260
10.410 0.230
10.370 0.200
10.430 0.240
13.140 0.590
13.370 0.510
11.800 0.420
11.600 0.540
11.060 0.130
9.190 0.330
9.670 0.690
10.660 1.500
10.680 1.450
10.190 0.100
10.250 0.140
10.230 0.100
10.200 0.130
12.620 0.590
12.620 0.560
12.270 0.480
12.290 0.460
12.240 0.550
11.260 0.320
11.270 0.390
11.970 0.450
11.960 0.540
11.990 0.530
12.050 0.570
8.360 0.020
8.340 0.060
8.390 0.040
10.160 0.090
10.240 0.160
7.210 -0.030
7.270 0.040
7.300 -0.010
9.940 0.080
10.400 0.130
10.080 0.120
9.660 0.070
9.680 0.070
9.880 0.010
9.880 0.120
10.970 0.590
11.280 0.350
9.340 0.040
9.350 0.100
13.250 0.810
13.350 0.710
13.970 0.780
13.750 0.840
12.620 0.680
13.230 0.850
13.540 0.590
13.080 0.670
14.220 0.700
12.980 0.620
13.880 0.680
12.770 0.840
13.850 0.790
13.300 0.390
13.730 0.690
11.980 0.480
10.400 0.150
10.010 0.170
8.760 0.030
8.760 0.300
10.170 0.080
10.170 0.130
8.960 0.040
8.530 0.030
12.290 0.590
12.200 0.570
12.270 0.560
9.410 0.100
9.430 0.050
7.200 -0.060
7.180 0.050
7.160 0.010
13.800 1.080
13.750 0.740
13.630 0.810
13.560 0.990
9.200 0.130
13.540 0.670
13.560 0.760
13.320 0.700
13.260 0.720
11.370 0.350
14.100 0.710
13.010 0.390
13.050 0.360
11.740 0.280
14.290 0.860
14.240 0.870
12.160 0.620
10.760 0.320
10.820 0.200
9.830 0.070
8.620 0.100
8.630 0.030
12.410 0.470
12.410 0.570
10.510 0.140
10.540 0.180
10.940 0.400
10.980 0.440
12.080 0.610
12.090 0.550
11.140 0.300
11.170 0.320
11.180 0.660
14.540 0.840
11.400 0.380
11.190 0.280
11.830 0.660
9.410 0.580
10.330 0.190
10.280 0.090
8.080 0.030
10.170 0.240
10.180 0.250
10.980 0.300
10.920 0.280
10.890 0.280
11.960 0.550
13.740 0.700
13.450 0.900
13.680 0.790
13.960 0.690
14.610 0.800
12.340 0.550
12.800 0.660
13.560 0.660
13.800 0.600
14.080 0.850
14.210 1.050
15.420 1.020
14.450 0.930
12.160 1.740
13.400 0.640
12.740 0.590
12.690 0.630
14.280 0.990
14.510 0.900
11.380 0.390
15.470 0.890
9.500 0.060
12.270 0.630
12.220 0.610
13.200 0.500
13.280 1.060
13.660 1.780
14.200 1.130
13.480 0.920
12.680 0.630
14.620 0.970
14.220 0.870
13.340 0.800
13.810 0.830
13.400 1.770
13.640 0.780
12.890 0.640
14.260 0.950
13.730 0.830
13.830 0.690
13.330 0.850
13.490 0.880
12.990 0.640
14.140 1.070
13.110 0.830
13.420 0.870
11.540 0.490
12.210 0.530
13.420 0.610
11.370 0.780
9.150 0.030
10.080 0.240
9.420 0.190
13.480 1.010
11.910 0.360
12.220 0.940
14.560 1.180
12.700 0.240
11.820 0.380
11.310 0.350
14.450 1.120
16.130 0.990
14.770 0.980
14.870 0.860
14.720 0.960
 
